Path,Explanation,Inhibited
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP1', 'PHLPP1(S412)', 'up', 'unknown'], ['PHLPP1(S412)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(160)]",no_prior_knowledge,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP2', 'PHLPP2(S1182)', 'up', 'unknown'], ['PHLPP2(S1182)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(160)]",no_prior_knowledge,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'AKT1', 'AKT1(S124)', 'unaffected', 'unknown'], Variable(250)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'AKT1', 'AKT1(S126)', 'unaffected', 'p_inc'], Variable(250)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'AKT1', 'AKT1(S129)', 'unaffected', 'p_inc'], Variable(250)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'AKT1', 'AKT1(S473)', 'up', 'conflicting'], Variable(250)]",loop,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'AKT1', 'AKT1(T312)', 'unaffected', 'unknown'], Variable(227)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'AKT2', 'na', 'na', 'na'], Variable(227)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'AKT3', 'na', 'na', 'na'], Variable(227)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T14)', 'unaffected', 'p_dec'], Variable(250)]",unaffected,_936
